Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
Tacrolimus,Prograf,10/04/16,"Prevention of rejection in kidney, liver or heart transplant in pediatric patients.",Designated/Approved,,"For the prophylaxis of organ rejection, in patients receiving allogeneic kidney transplant, liver transplants and heart transplant, in combination with other immunosuppressants.",05/24/2018,05/24/2025,For the prophylaxis of organ rejection in pediatric patients receiving allogeneic liver transplants in combination with other immunosuppressants.,"Astellas Pharma Global Development, Inc.",1 Astellas Way,,Northbrook,Illinois,60062,United States,534516
tacrolimus,Prograf,9/12/19,Prevention of rejection in lung transplantation,Designated/Approved,,"Prophylaxis of organ rejection in adult and pediatric patients receiving allogeneic kidney transplant, liver transplant, heart transplant, or lung transplant in combination with other immunosuppressants",07/16/2021,07/16/2028,Prophylaxis of organ rejection in adult and pediatric patients receiving allogeneic lung transplant,"Astellas Pharma Global Development, Inc.",1 Astellas Way,,Northbrook,Illinois,60062,United States,701319
tacrolimus,Envarsus XR,12/20/2013,Prophylaxis of organ rejection in patients receiving allogeneic kidney transplant,Designated/Approved,,ENVARSUS XR is indicated for the prophylaxis of organ rejection in kidney transplant patients in combination with other immunosuppressants.,12/19/2018,,,"Veloxis Pharmaceuticals, Inc.",1001 Winstead Drive,Suite 310,Cary,North Carolina,27513,United States,407113
Tacrolimus,Prograf,6/06/05,Prophylaxis of organ rejection in patients receiving heart transplants.,Designated/Approved,,Prophylaxis of organ rejection in patients receiving allogenic heart transplants.,03/29/2006,03/29/2013,,"Astellas Pharma US, Inc.",Three Parkway North,,Deerfield,Illinois,60015,United States,203305
tacrolimus,Envarsus XR,12/20/2013,Prophylaxis of organ rejection in patients receiving allogeneic kidney transplant,Designated/Approved,,Prophylaxis of organ rejection in kidney transplant patients converted from tacrolimus immediate-release formulations in combination with other immunosuppressants,7/10/15,7/10/22,Prophylaxis of organ rejection in kidney transplant patients converted from tacrolimus immediate-release formulations in combination with other immunosuppressants,"Veloxis Pharmaceuticals, Inc.",1001 Winstead Drive,Suite 310,Cary,North Carolina,27513,United States,407113
tacrolimus extended-release capsules,Astagraf XL,10/04/16,"Prevention of rejection in kidney, liver or heart transplant in pediatric patients",Designated/Approved,,prophylaxis of organ rejection in kidney transplant patients in combination with other immunosuppressants in adult and pediatric patients,11/29/2018,,,"Astellas Pharma Global Development, Inc.",1 Astellas Way,,Northbrook,Illinois,60062,United States,534516
tadalafil,Adcirca,12/18/2006,Treatment of pulmonary arterial hypertension,Designated/Approved,,Treatment of pulmonary arterial hypertension (WHO Group I) to improve exercise ability,05/22/2009,05/22/2016,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,46285,United States,228206
tafamidis meglumine,VYNDAQEL; VYNDAMAX,02/17/2012,Treatment of symptomatic transthyretin (TTR) amyloid cardiomyopathy.,Designated/Approved,,VYNDAQEL and VYNDAMAX are indicated for the treatment of the cardiomyopathy of wild type or hereditary transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular mortality and cardiovascular-related hospitalization.,5/03/19,5/03/26,VYNDAQEL and VYNDAMAX are indicated for the treatment of the cardiomyopathy of wild type or hereditary transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular mortality and cardiovascular-related hospitalization.,"FoldRx Pharmaceuticals, Inc., a subsidiary of Pfizer Inc.",445 Eastern Point Road,,Groton,Connecticut,6340,United States,363312
tafasitamab,MONJUVI,12/01/14,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,"MONJUVI is indicated in combination with lenalidomide for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) not otherwise specified, including DLBCL arising from low grade lymphoma, and who are not eligible for autologous stem cell transplant (ASCT)",07/31/2020,07/31/2027,"indicated in combination with lenalidomide for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) not otherwise specified, including DLBCL arising from low grade lymphoma, and who are not eligible for autologous stem cell transplant (ASCT)",MorphoSys AG,Semmelweisstrasse 7,,Plannegg,,,Germany,456014
tafenoquine,Krintafel,01/15/2013,Treatment of malaria,Designated/Approved,,KRINTAFEL is indicated for the radical cure (prevention of relapse) of Plasmodium vivax malaria in patients aged 16 years and older who are receiving appropriate antimalarial therapy for acute P. vivax infection.,07/20/2018,07/20/2025,KRINTAFEL is indicated for the radical cure (prevention of relapse) of Plasmodium vivax malaria in patients aged 16 years and older who are receiving appropriate antimalarial therapy for acute P. vivax infection.,GlaxoSmithKline Intellectual Property Development Ltd. England,980 Great West Road,,"Brentford, Middlesex",England,,United Kingdom,385812
Tagraxofusp-erzs,ELZONRIS,6/06/13,Treatment of blastic plasmacytoid dendritic cell neoplasm,Designated/Approved,,ELZONRIS is a CD123-directed cytotoxin for the treatment of blastic plasmacytoid dendritic cell neoplasm (BPDCN) in adults and in pediatric patients 2 years and older.,12/21/2018,12/21/2025,ELZONRIS is indicated for the treatment of blastic plasmacytoid dendritic cell neoplasm (BPDCN) in adults and in pediatric patients 2 years and older.,"Stemline Therapeutics, Inc.",750 Lexington Avenue,11th floor,New York,New York,10022,United States,397413
Taliglucerase alfa,ELELYSO for injection,9/03/09,Treatment of Gaucher's disease,Designated/Approved,,Use as long-term enzyme replacement therapy in patients with Type 1 Gaucher disease,5/01/12,,,"Pfizer, Inc.",235 East 42nd Street,,New York,New York,10017,United States,191004
talimogene laherparepvec,IMLYGIC,03/14/2011,Treatment of stage IIb-stage IV melanoma,Designated/Approved,,"Indicated for the local treatment of unresectable cutaneous, subcutaneous, and nodal lesions in patients with melanoma recurrent after initial surgery",10/27/2015,10/27/2022,"Indicated for the local treatment of unresectable cutaneous, subcutaneous, and nodal lesions in patients with melanoma recurrent after initial surgery","BioVex, Inc. (subsidiary of Amgen)",Amgen,Mail Stop 17-2-B,Thousand Oaks,California,91320,United States,334011
tasimelteon,HETLIOZ,01/19/2010,Non-24-hour sleepwake disorder in blind individuals without light perception,Designated/Approved,,Treatment of non-24-hour sleep-wake disorder,01/31/2014,01/31/2021,Treatment of non-24-hour sleep-wake disorder,"Vanda Pharmaceuticals, Inc.","2200 Penn. Ave., NW",Suite 300 E,Washington,District of Columbia,20037,United States,297409
tasimelteon,Hetlioz LQ,04/30/2010,Treatment of the sleep disorder in Smith-Magenis syndrome associated with diurnal melatonin secretion.,Designated/Approved,,Treatment of nighttime sleep disturbances in Smith-Magenis Syndrome (SMS) in pediatric patients 3 to 15 years of age,12/01/20,12/01/27,Treatment of nighttime sleep disturbances in Smith-Magenis Syndrome (SMS) in pediatric patients 3 to 15 years of age,"Vanda Pharmaceuticals, Inc.",9605 Medical Center Drive,,Rockville,Maryland,20850,United States,301410
tasimelteon,Hetlioz,04/30/2010,Treatment of the sleep disorder in Smith-Magenis syndrome associated with diurnal melatonin secretion.,Designated/Approved,,Treatment of nighttime sleep disturbances in Smith-Magenis Syndrome (SMS) in patients 16 years of age and older,12/01/20,12/01/27,Treatment of nighttime sleep disturbances in Smith-Magenis Syndrome (SMS) in patients 16 years of age and older.,"Vanda Pharmaceuticals, Inc.",9605 Medical Center Drive,,Rockville,Maryland,20850,United States,301410
tazemetostat,Tazverik,11/14/2017,Treatment of follicular lymphoma,Designated/Approved,,TAZVERIK (tazemetostat) is indicated for: the treatment of adult patients with relapsed or refractory (R/R) follicular lymphoma (FL) whose tumors are positive for an EZH2 mutation as detected by an FDA-approved test and who have received at least 2 prior systemic therapies; and the treatment of adult patients with R/R FL who have no satisfactory alternative treatment options.,06/18/2020,06/18/2027,"For the treatment of adult patients with relapsed or refractory follicular lymphoma whose tumors are positive for an EZH2 mutation as detected by an FDA-approved test and who have received at least 2 prior systemic therapies, and for the treatment of adult patients with relapsed or refractory follicular lymphoma who have no satisfactory alternative treatment options","Epizyme, Inc.",400 Technology Square,4th Floor,Cambridge,Massachusetts,2139,United States,607017
tazemetostat,,06/15/2017,Treatment of soft tissue sarcoma,Designated/Approved,,TAZVERIK is indicated for the treatment of adults and pediatric patients aged 16 years and older with metastatic or locally advanced epithelioid sarcoma not eligible for complete resection.,01/23/2020,01/23/2027,,"Epizyme, Inc.",400 Technology Square,4th Floor,Cambridge,Massachusetts,2139,United States,578417
tebentafusp-tebn,Kimmtrak,01/21/2016,Treatment of uveal melanoma,Designated/Approved,,treatment of HLA-A*02:01-positive adult patients with unresectable or metastatic uveal melanoma,01/25/2022,,,Immunocore Ltd,Milton Park,90 Park Drive,Milton,,,United Kingdom,503615
technetium Tc 99m tilmanocept,LYMPHOSEEK,09/17/2014,"Use in sentinel lymph node detection (SLN) with a hand-held gamma-counter, with scintigraphic imaging, in patients with cancer of the head and neck",Designated/Approved,,"Guiding sentinel lymph node biopsy, using a hand-held gamma counter in patients with clinically node negative squamous cell carcinoma of the oral cavity.",06/13/2014,06/13/2021,"Guiding sentinel lymph node biopsy, using a hand-held gamma counter in patients with clinically node negative squamous cell carcinoma of the oral cavity.","Cardinal Health 414, LLC",7200 Cardinal Pl,,Dublin,Ohio,43017,United States,427814
"Technetium Tc99m sulfur colloid injection, lyophilized",Technetium Tc99m Sulfur Colloi,03/17/2009,For localization of sentinel lymph nodes in patients with melanoma,Designated/Approved,,Localization of lymph nodes draining a primary tumor in patients with melanoma when used with a hand-held gamma counter,08/13/2012,08/13/2019,,"Pharmalucence, Inc.",10 DeAngelo Drive,,Bedford,Massachusetts,1730,United States,271608
tecovirimat,TPOXX,12/27/2006,Treatment of smallpox,Designated/Approved,,Treatment of human smallpox disease caused by variola virus in adults and pediatric patients weighing at least 3 kg,05/18/2022,,,"SIGA Technologies, Inc.",4575 SW Research Way,Suite 230,Corvallis,Oregon,97333,United States,229806
tecovirimat,TPOXX,12/27/2006,Treatment of smallpox,Designated/Approved,,TPOXX is indicated for the treatment of human smallpox disease caused by variola virus in adults and pediatric patients weighing at least 13 kg.,07/13/2018,07/13/2025,TPOXX is indicated for the treatment of human smallpox disease caused by variola virus in adults and pediatric patients weighing at least 13 kg.,"SIGA Technologies, Inc.",4575 SW Research Way,Suite 230,Corvallis,Oregon,97333,United States,229806
teduglutide [rDNA origin]; teduglutide [rDNA origin],GATTEX; GATTEX,06/29/2000,Treatment of short bowel syndrome.,Designated/Approved,,Treatment of adult patients with short bowel syndrome (SBS) who are dependent on parenteral support,12/21/2012,12/21/2019,,"Takeda Pharmaceuticals U.S.A., Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,126999
teduglutide [rDNA origin]; teduglutide [rDNA origin],GATTEX; GATTEX,06/29/2000,Treatment of short bowel syndrome.,Designated/Approved,,GATTEX is indicated for the treatment of adults and pediatric patients 1 year of age and older with Short Bowel Syndrome (SBS) who are dependent on parenteral support.,05/16/2019,05/16/2026,Treatment of pediatric patients 1 year of age and older with Short Bowel Syndrome (SBS) who are dependent on parenteral support.,"Takeda Pharmaceuticals U.S.A., Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,126999
telotristat etiprate,Xermelo,3/09/12,Treatment of carcinoid syndrome in patients with neuroendocrine tumors,Designated/Approved,,Treatment of carcinoid syndrome diarrhea in combination with somatostatin analog (SSA) therapy in adults inadequately controlled by SSA therapy.,02/28/2017,02/28/2024,Treatment of carcinoid syndrome diarrhea in combination with somatostatin analog (SSA) therapy in adults inadequately controlled by SSA therapy.,"Lexicon Pharmaceuticals, Inc.",8800 Technology Forest Drive,,The Woodlands,Texas,77381,United States,266308
temozolomide,Temodar,10/05/98,Treatment of recurrent malignant glioma.,Designated/Approved,,"Treatment of adult patients with refractory anaplastic astrocytoma, i.e., patients at first relapse who have experienced disease progression on a drug regimen containing a nitrosourea and procarbazine",8/11/99,8/11/06,,Schering-Plough Research Institute,2000 Galloping Hill Rd.,,Kenilworth,New Jersey,7033,United States,116798
